file_name,transcription
data/VODA_037_22.mp3,"Het gaat over Heksemijntje. In de Krijtestraat woonde Mijntje. Da was een wijf van tachtig jaar as ze nie ouwer was. Die had de naam da ze van de duvel bezeten was. Daar moesten ze snoepkes binnenbrengen, anders kosten ze nie thuiskomen. As ze bij de miensen binnen kwam, moest ze altijd oppassen dat ze nie aan hun lijf kwam. Dan vatte zij iets hoger dan zij, dan was ze de macht kwijt zeien ze. As ze oe schouder vat, vatte gij op d’r kop. Anders ha je ze wel te pakken."
data/VODA_037_20.mp3,"Het spookhuis
Op de Heezerenbosch, bij Jan Zand, ze weten nie, spookte het alle avonden, in munnuh vader zunnuh tijd. Daar vlogen stenen door de zolder en door het dak en toch wer d’r geen gat te zien. En toch vielen de stenen in den herd. Daar is de policie mee gemoeid geweest. M’n vader is d’r zelf binnen geweest, die snapte d’r niks van zei die. Hij waar d’r verschillende avonden geweest. De policie heet ’t volk… hield ’t volk tegen, want d’r kwam volk, veel volk kijken. Het huis is later afgebroken. Het heeft nog gediend as verkenskot."
data/VODA_037_07.mp3,"Ja… uh… tegen die uh… heksen. Da kon je nie veel tegen, tegen doen. Da wa wel beweerd… da je un pot op vuur hebbn moetn zetten… en da dee je un haan in hè en dan deksel d’r op. En dan maar stoken, stoken, stoken hè. Totdat die haan dood was hè. Dan kon gebeurn dat die… uh… deur die uh… aje die haan… uh… op in de pot hadden en smoorn… kon gebeurn da je de heksen verdreven."
data/VODA_037_18.mp3,"D’r is nog een schoon verhaal van een hele sterke man die van de duivel nog niet bang was. Die gong in de ruïne in ’t bos waar ’t spookte. Da ha ze dan gezien, daar zat ’n mens in. ’s Nachts kwam er ook ene. Dat zou echt gebeurd zijn. Hij gong er binnen en da ach spoken bestaan nie. Maor hij heurde toch gerammel van kettingen. D’r waren een kluizenaar die daar gevangen zat omdat d’r unnuh moord door gebeurd was. Maar da heet ie toch opgelost."
data/VODA_010_08A.mp3,"Das een slechte vos, als ze dan die maar één hol heb."
data/VODA_015_08.mp3,"En dan haeje ze auch dit: ‘Als een liek op enne zondeg bleef staon, dan volgde sjrouwe nog narein op.’"
data/VODA_012_28.mp3,"Als de kacheldeur openviel dan zeien ze: ‘O nu komt er bezoek.’ En als het eh aardappelmesje of een ander mes rechtop bleef staan op tafel hè, zeien: ‘O we krijgen bezoek vandaag hè.’"
data/VODA_037_09.mp3,"Witte wieve wit,
Gebraaien aan een spit.
En dan zegt de witte wief weer:
‘Had ik mijn ene schoen maar gevonden
En de ander gebonden
Dan zou ik jou.’
Witte wieve wit,
Gebraaien aan een spit.
Ha, jaja."
data/VODA_004_19.mp3,"Der was, war’ze an’t dorsen waren, op een plaats war’ze an’t dorsenen en toen kwam er ook zo’n vrouwke langs en toen zei die: “hoe goat het ermee? Hedde’t werk af, hedde’t werk af?” “ben de gek?” zei die boer zo, “as we ’t kaf maar hebben”. Moar ja niks is kaf en die hadden geen, geen rogge."
data/VODA_022_14.mp3,"n een dorp jankte is een gehele nacht een hond. ‘’Dat zal niet lang meer duren,’’ zei een man, die met de helm geboren was. ‘’Kijk maar over mijn linker schouder, dan kun je het ook zien.’’ Maar niemand waagde er zich aan. Enkele dagen later stierf er iemand in het huis waar de hond zo gejankt had."
